filename,artist,style,genre,artist_label,Image Path,Feature File01,Feature File02,Feature File1,Feature File2,Feature File3
24465.jpg,Konstantin Vasilyev,Symbolism,genre painting,29,/scratch/bbmr/syang7/art/Multitask100k/images/24465.jpg,/scratch/bbmr/syang7/art/Multitask100k/comments_resnet/29/24465.pt,/scratch/bbmr/syang7/art/Multitask100k/comments_resnet2/29/24465.pt,/scratch/bbmr/syang7/art/Multitask100k/comments/29/24465.pt,/scratch/bbmr/syang7/art/Multitask100k/comments_qwen/29/24465.pt,/scratch/bbmr/syang7/art/Multitask100k/comments_share/29/24465.pt
59486.jpg,Gerrit Dou,Baroque,self-portrait,17,/scratch/bbmr/syang7/art/Multitask100k/images/59486.jpg,/scratch/bbmr/syang7/art/Multitask100k/comments_resnet/17/59486.pt,/scratch/bbmr/syang7/art/Multitask100k/comments_resnet2/17/59486.pt,/scratch/bbmr/syang7/art/Multitask100k/comments/17/59486.pt,/scratch/bbmr/syang7/art/Multitask100k/comments_qwen/17/59486.pt,/scratch/bbmr/syang7/art/Multitask100k/comments_share/17/59486.pt
48590.jpg,Claude Lorrain,Classicism,mythological painting,7,/scratch/bbmr/syang7/art/Multitask100k/images/48590.jpg,/scratch/bbmr/syang7/art/Multitask100k/comments_resnet/7/48590.pt,/scratch/bbmr/syang7/art/Multitask100k/comments_resnet2/7/48590.pt,/scratch/bbmr/syang7/art/Multitask100k/comments/7/48590.pt,/scratch/bbmr/syang7/art/Multitask100k/comments_qwen/7/48590.pt,/scratch/bbmr/syang7/art/Multitask100k/comments_share/7/48590.pt
60585.jpg,Claude Lorrain,Classicism,cityscape,7,/scratch/bbmr/syang7/art/Multitask100k/images/60585.jpg,/scratch/bbmr/syang7/art/Multitask100k/comments_resnet/7/60585.pt,/scratch/bbmr/syang7/art/Multitask100k/comments_resnet2/7/60585.pt,/scratch/bbmr/syang7/art/Multitask100k/comments/7/60585.pt,/scratch/bbmr/syang7/art/Multitask100k/comments_qwen/7/60585.pt,/scratch/bbmr/syang7/art/Multitask100k/comments_share/7/60585.pt
36382.jpg,Konstantin Vasilyev,Symbolism,mythological painting,29,/scratch/bbmr/syang7/art/Multitask100k/images/36382.jpg,/scratch/bbmr/syang7/art/Multitask100k/comments_resnet/29/36382.pt,/scratch/bbmr/syang7/art/Multitask100k/comments_resnet2/29/36382.pt,/scratch/bbmr/syang7/art/Multitask100k/comments/29/36382.pt,/scratch/bbmr/syang7/art/Multitask100k/comments_qwen/29/36382.pt,/scratch/bbmr/syang7/art/Multitask100k/comments_share/29/36382.pt
19784.jpg,Konstantin Vasilyev,Symbolism,mythological painting,29,/scratch/bbmr/syang7/art/Multitask100k/images/19784.jpg,/scratch/bbmr/syang7/art/Multitask100k/comments_resnet/29/19784.pt,/scratch/bbmr/syang7/art/Multitask100k/comments_resnet2/29/19784.pt,/scratch/bbmr/syang7/art/Multitask100k/comments/29/19784.pt,/scratch/bbmr/syang7/art/Multitask100k/comments_qwen/29/19784.pt,/scratch/bbmr/syang7/art/Multitask100k/comments_share/29/19784.pt
55036.jpg,Konstantin Vasilyev,Symbolism,portrait,29,/scratch/bbmr/syang7/art/Multitask100k/images/55036.jpg,/scratch/bbmr/syang7/art/Multitask100k/comments_resnet/29/55036.pt,/scratch/bbmr/syang7/art/Multitask100k/comments_resnet2/29/55036.pt,/scratch/bbmr/syang7/art/Multitask100k/comments/29/55036.pt,/scratch/bbmr/syang7/art/Multitask100k/comments_qwen/29/55036.pt,/scratch/bbmr/syang7/art/Multitask100k/comments_share/29/55036.pt
15896.jpg,Konstantin Vasilyev,Symbolism,mythological painting,29,/scratch/bbmr/syang7/art/Multitask100k/images/15896.jpg,/scratch/bbmr/syang7/art/Multitask100k/comments_resnet/29/15896.pt,/scratch/bbmr/syang7/art/Multitask100k/comments_resnet2/29/15896.pt,/scratch/bbmr/syang7/art/Multitask100k/comments/29/15896.pt,/scratch/bbmr/syang7/art/Multitask100k/comments_qwen/29/15896.pt,/scratch/bbmr/syang7/art/Multitask100k/comments_share/29/15896.pt
43517.jpg,Nicolas Poussin,Classicism,mythological painting,35,/scratch/bbmr/syang7/art/Multitask100k/images/43517.jpg,/scratch/bbmr/syang7/art/Multitask100k/comments_resnet/35/43517.pt,/scratch/bbmr/syang7/art/Multitask100k/comments_resnet2/35/43517.pt,/scratch/bbmr/syang7/art/Multitask100k/comments/35/43517.pt,/scratch/bbmr/syang7/art/Multitask100k/comments_qwen/35/43517.pt,/scratch/bbmr/syang7/art/Multitask100k/comments_share/35/43517.pt
16042.jpg,Konstantin Vasilyev,Symbolism,mythological painting,29,/scratch/bbmr/syang7/art/Multitask100k/images/16042.jpg,/scratch/bbmr/syang7/art/Multitask100k/comments_resnet/29/16042.pt,/scratch/bbmr/syang7/art/Multitask100k/comments_resnet2/29/16042.pt,/scratch/bbmr/syang7/art/Multitask100k/comments/29/16042.pt,/scratch/bbmr/syang7/art/Multitask100k/comments_qwen/29/16042.pt,/scratch/bbmr/syang7/art/Multitask100k/comments_share/29/16042.pt
93795.jpg,Konstantin Vasilyev,Symbolism,mythological painting,29,/scratch/bbmr/syang7/art/Multitask100k/images/93795.jpg,/scratch/bbmr/syang7/art/Multitask100k/comments_resnet/29/93795.pt,/scratch/bbmr/syang7/art/Multitask100k/comments_resnet2/29/93795.pt,/scratch/bbmr/syang7/art/Multitask100k/comments/29/93795.pt,/scratch/bbmr/syang7/art/Multitask100k/comments_qwen/29/93795.pt,/scratch/bbmr/syang7/art/Multitask100k/comments_share/29/93795.pt
7020.jpg,Rudolf von Alt,Romanticism,cityscape,39,/scratch/bbmr/syang7/art/Multitask100k/images/7020.jpg,/scratch/bbmr/syang7/art/Multitask100k/comments_resnet/39/7020.pt,/scratch/bbmr/syang7/art/Multitask100k/comments_resnet2/39/7020.pt,/scratch/bbmr/syang7/art/Multitask100k/comments/39/7020.pt,/scratch/bbmr/syang7/art/Multitask100k/comments_qwen/39/7020.pt,/scratch/bbmr/syang7/art/Multitask100k/comments_share/39/7020.pt
83376.jpg,Konstantin Vasilyev,Contemporary Realism,portrait,29,/scratch/bbmr/syang7/art/Multitask100k/images/83376.jpg,/scratch/bbmr/syang7/art/Multitask100k/comments_resnet/29/83376.pt,/scratch/bbmr/syang7/art/Multitask100k/comments_resnet2/29/83376.pt,/scratch/bbmr/syang7/art/Multitask100k/comments/29/83376.pt,/scratch/bbmr/syang7/art/Multitask100k/comments_qwen/29/83376.pt,/scratch/bbmr/syang7/art/Multitask100k/comments_share/29/83376.pt
26862.jpg,Kazimir Malevich,Suprematism,portrait,28,/scratch/bbmr/syang7/art/Multitask100k/images/26862.jpg,/scratch/bbmr/syang7/art/Multitask100k/comments_resnet/28/26862.pt,/scratch/bbmr/syang7/art/Multitask100k/comments_resnet2/28/26862.pt,/scratch/bbmr/syang7/art/Multitask100k/comments/28/26862.pt,/scratch/bbmr/syang7/art/Multitask100k/comments_qwen/28/26862.pt,/scratch/bbmr/syang7/art/Multitask100k/comments_share/28/26862.pt
